parameter,regime,regime_label,q025,q50,q975
mu,0,hmm_prob_state_0,-0.004938731862425697,0.0014958128078235568,0.010655954793372887
mu,1,hmm_prob_state_1,-0.005579994792520893,0.00047365638918077087,0.005671989905712523
mu,2,hmm_prob_state_2,-0.009672020247247306,-0.0022570793037316257,0.006722560161199406
mu,3,hmm_prob_state_3,-0.008787452452506263,0.001096384843743341,0.011826177712183906
c,0,hmm_prob_state_0,0.4121243526469847,0.9955035444726417,1.6947925747891905
c,1,hmm_prob_state_1,0.5828669783904177,1.0952508308461981,1.8102514786099202
c,2,hmm_prob_state_2,0.6036906049502608,0.9523778140604651,1.5325842666328844
c,3,hmm_prob_state_3,0.4913364349834055,1.0570726855498742,1.9020107483063107
nu,0,hmm_prob_state_0,4.612977692206486,9.645725574766566,23.429929160857004
nu,1,hmm_prob_state_1,3.774704546035437,9.200186979881146,28.60239737886175
nu,2,hmm_prob_state_2,4.474532135411504,8.840084602504788,20.004529146353825
nu,3,hmm_prob_state_3,3.759602152741516,7.954246574536175,20.9913872164596
