,mu_0,mu_1,mu_2,mu_3,c_0,c_1,c_2,c_3,nu_0,nu_1,nu_2,nu_3
mu_0,1.0,-0.04423028702323266,0.04673282870644592,0.027725978575414936,0.008231851375592786,-0.1632973490471097,-0.07813696155001496,0.027381514010867858,0.12461715550522703,-0.12366156637916151,0.04953549871211504,-0.0020477555199017597
mu_1,-0.04423028702323266,1.0,0.13075475236115994,-0.008489800180527125,0.04127489268795069,-0.376634300863515,0.05036206403818417,-0.08780618378191862,-0.131190998926042,0.020762034636746075,0.031094089775122756,0.0013767883478706883
mu_2,0.04673282870644592,0.13075475236115994,1.0,0.10995617431872225,0.06117648096109509,0.17131680677739805,0.1897725751144881,-0.23917471602584708,0.0323776956730447,-0.10354155916191288,-0.08045735784705807,0.041788799589071814
mu_3,0.027725978575414936,-0.008489800180527125,0.10995617431872225,1.0,0.04599477941877551,0.1392485788300984,-0.12865573682223042,0.10387448990111399,0.238228749611205,-0.11353873544179933,0.06459659270424263,0.24551922936176712
c_0,0.008231851375592786,0.04127489268795069,0.06117648096109509,0.04599477941877551,1.0,0.11800150388784852,0.09937757769710301,0.05835929738536948,-0.2479969791370868,0.045160207478639504,0.14136245986120258,0.07973966511596103
c_1,-0.1632973490471097,-0.376634300863515,0.17131680677739805,0.1392485788300984,0.11800150388784852,1.0,0.00048401072430689256,-0.039403196475627185,-0.0017425796306676658,-0.04505842929272641,0.028828804704719848,0.06385254008415649
c_2,-0.07813696155001496,0.05036206403818417,0.1897725751144881,-0.12865573682223042,0.09937757769710301,0.00048401072430689256,1.0,-0.3047073280382674,0.06720702339568249,-0.047433037801096874,0.17320394550190604,-0.08291106922513951
c_3,0.027381514010867858,-0.08780618378191862,-0.23917471602584708,0.10387448990111399,0.05835929738536948,-0.039403196475627185,-0.3047073280382674,1.0,-0.07716802648586826,0.10469236512312245,-0.11752265829900307,0.14300354724654923
nu_0,0.12461715550522703,-0.131190998926042,0.0323776956730447,0.238228749611205,-0.2479969791370868,-0.0017425796306676658,0.06720702339568249,-0.07716802648586826,1.0,-0.1513678005660101,0.017043050217531452,0.002325074236104138
nu_1,-0.12366156637916151,0.020762034636746075,-0.10354155916191288,-0.11353873544179933,0.045160207478639504,-0.04505842929272641,-0.047433037801096874,0.10469236512312245,-0.1513678005660101,1.0,-0.13794481698517358,-0.04879961505934295
nu_2,0.04953549871211504,0.031094089775122756,-0.08045735784705807,0.06459659270424263,0.14136245986120258,0.028828804704719848,0.17320394550190604,-0.11752265829900307,0.017043050217531452,-0.13794481698517358,1.0,0.05111951492966284
nu_3,-0.0020477555199017597,0.0013767883478706883,0.041788799589071814,0.24551922936176712,0.07973966511596103,0.06385254008415649,-0.08291106922513951,0.14300354724654923,0.002325074236104138,-0.04879961505934295,0.05111951492966284,1.0
