parameter,regime,regime_label,mean,sd,q025,q50,q975
mu,0,hmm_prob_state_0,0.0018664840984271797,0.004230188998898468,-0.004938731862425697,0.0014958128078235568,0.010655954793372887
mu,1,hmm_prob_state_1,0.00018756725405593685,0.002919380782533603,-0.005579994792520893,0.00047365638918077087,0.005671989905712523
mu,2,hmm_prob_state_2,-0.0016740899270120122,0.004457157834073831,-0.009672020247247306,-0.0022570793037316257,0.006722560161199406
mu,3,hmm_prob_state_3,0.0016915841352915099,0.0050555642423812715,-0.008787452452506263,0.001096384843743341,0.011826177712183906
c,0,hmm_prob_state_0,1.0204348730800377,0.3233225225672652,0.4121243526469847,0.9955035444726417,1.6947925747891905
c,1,hmm_prob_state_1,1.0979533855316432,0.3046982566683414,0.5828669783904177,1.0952508308461981,1.8102514786099202
c,2,hmm_prob_state_2,0.9764067711981446,0.24676717438257756,0.6036906049502608,0.9523778140604651,1.5325842666328844
c,3,hmm_prob_state_3,1.1119579191657538,0.41847018766196015,0.4913364349834055,1.0570726855498742,1.9020107483063107
nu,0,hmm_prob_state_0,10.697857205162451,5.214320195599013,4.612977692206486,9.645725574766566,23.429929160857004
nu,1,hmm_prob_state_1,11.143030789059026,6.599951117914631,3.774704546035437,9.200186979881146,28.60239737886175
nu,2,hmm_prob_state_2,9.914718231218096,5.420384341826532,4.474532135411504,8.840084602504788,20.004529146353825
nu,3,hmm_prob_state_3,9.500663752596523,4.870563083238074,3.759602152741516,7.954246574536175,20.9913872164596
