step,q025,q050,q100,q250,q500,q750,q900,q950,q975
0,1800.54,1800.54,1800.54,1800.54,1800.54,1800.54,1800.54,1800.54,1800.54
1,1775.2225016487498,1779.555472532083,1784.5192611249768,1793.9216895316702,1801.1433812764894,1808.509798052071,1815.6704254705041,1820.066725386506,1824.8227734883146
2,1766.2736079673787,1770.4684031967086,1778.25435078844,1791.104898484655,1802.1133685574077,1813.275494164591,1823.162093695073,1829.542150684491,1838.615690419793
3,1755.8828701144157,1767.097782976553,1775.635553339576,1788.9146728099493,1803.2345923286316,1816.1213328836452,1830.2582288185224,1841.4299975694644,1853.2514769278
4,1753.3054053065453,1761.7476359240643,1770.2169353114762,1787.0055765397328,1802.8672962548803,1819.0484302799975,1833.9400803593526,1854.5371610669117,1870.413195323852
5,1746.725502035275,1756.4288133290538,1768.2578695339562,1786.3016648523585,1804.518367911397,1822.159703046824,1840.673346849002,1856.2452199335614,1875.101445996232
6,1734.233494309749,1747.6767655801302,1762.3681699656624,1784.712239923101,1805.7598592772665,1827.839826156935,1855.4692793253598,1869.972487943986,1895.2301597311173
7,1722.333736263773,1742.4941640486684,1757.4101034463888,1783.2363713209113,1804.7389521829102,1828.211773328641,1853.7157462361954,1881.3449769668164,1926.0253562778823
8,1708.404562332261,1737.734638182066,1753.9895947797484,1784.2332603853856,1807.1580763412255,1830.5931322114254,1858.586776818909,1892.8556708046933,1949.8801830579764
9,1695.4710883118203,1726.939495274829,1751.0580675037106,1781.1573778307395,1806.3503288632082,1833.5479283044895,1869.309294024036,1910.720888036929,1959.7607818562692
10,1671.5207044457684,1716.9954455584182,1748.054449002506,1777.3038896543706,1807.281594327238,1837.3299341075979,1869.1939172778248,1904.450381815665,2086.85310627903
11,1651.7592961151727,1702.6457708257235,1744.4604229259726,1776.4928218163568,1806.9127441885776,1839.0418350799068,1878.0732132701846,1938.3326609553176,2034.5995576745374
12,1625.2201872645398,1705.2305802331105,1733.7569888148967,1772.1090416748914,1810.943941045338,1842.4164744992033,1886.024433345464,1956.3556065349583,2158.353174437883
13,1580.2505172172273,1673.9145230045817,1723.7569861346608,1771.0165757404172,1808.5738285942089,1847.2053788292415,1886.0596884602526,1941.2365462396465,2121.4054973481707
14,1589.862592474911,1656.9121114919712,1714.8382939551702,1769.4390687522398,1810.493464449953,1851.8200083759878,1911.8256223223566,1999.82449074377,2291.1871460642546
15,1429.5745608253796,1617.0348720254342,1720.8969933893543,1773.8664110267541,1812.3394624991286,1856.6188986601105,1927.847447778817,2031.2872385450412,2188.754615846094
16,1335.182619898074,1529.4216816832227,1702.2176195192885,1767.458707857868,1810.046875798744,1860.0234433219732,1953.597474291482,2177.851339366168,2303.290783302167
17,1415.341724015116,1582.1249948417944,1694.5189038265619,1767.913189695659,1811.9569733504152,1860.7938392141057,1959.136081730364,2095.905005236367,2271.7324767669006
18,1394.307075888522,1536.9940959902904,1683.0329901738949,1761.7779932947628,1808.615371199456,1861.5067196285602,1971.7082246237683,2115.972628997791,2429.2281151383613
19,1362.3676189493488,1523.0680292755098,1629.602390302968,1757.0036606659853,1812.574907241286,1865.0210361855286,2003.9120425381377,2168.6041270930477,2502.027729442439
20,1245.9865476395737,1432.936444101435,1644.387489476908,1754.8316830607073,1810.261965717499,1866.904430490869,2000.6581854236688,2404.5956756729056,2821.768994439085
