parameter,regime,regime_label,q025,q50,q975
mu,0,hmm_prob_state_0,-0.00026927629210519636,0.00015826913158819867,0.0005601499156186196
mu,1,hmm_prob_state_1,3.0106509755273392e-05,0.000680107372345274,0.0013570409279848466
mu,2,hmm_prob_state_2,-9.613093320720318e-05,0.0004243339861960887,0.0009175057532265527
mu,3,hmm_prob_state_3,-0.00014686485171117944,0.000999024108108964,0.002178783323707232
c,0,hmm_prob_state_0,0.7281613364815712,0.7721847891807556,0.816077734529972
c,1,hmm_prob_state_1,0.7949561819434166,0.8471961617469788,0.8957847833633422
c,2,hmm_prob_state_2,0.8011104792356492,0.8504486978054047,0.9006517693400383
c,3,hmm_prob_state_3,0.9099606484174728,0.9619820713996887,1.0160867899656296
nu,0,hmm_prob_state_0,6.479386484622955,7.71279764175415,9.353674626350402
nu,1,hmm_prob_state_1,6.479386484622955,7.71279764175415,9.353674626350402
nu,2,hmm_prob_state_2,6.479386484622955,7.71279764175415,9.353674626350402
nu,3,hmm_prob_state_3,6.479386484622955,7.71279764175415,9.353674626350402
