parameter,regime,regime_label,mean,sd,q025,q50,q975
mu,0,hmm_prob_state_0,0.0076153412260238865,0.0009166885077342092,0.0057910859305846125,0.007604288108502317,0.009413766357116632
mu,1,hmm_prob_state_1,0.0005239580817752602,0.00032274203128585763,-0.00014055044165606177,0.0005239775522506392,0.0011449791579333972
mu,2,hmm_prob_state_2,-0.0004467489836463188,0.0002827905994961016,-0.001039105247707064,-0.00044083272498570206,0.00010726899102135996
mu,3,hmm_prob_state_3,-0.002720593357248065,0.0007641676745548657,-0.004291430404968271,-0.0027295390730883197,-0.0012132191419019704
c,0,hmm_prob_state_0,0.9382829705874125,0.03388861205330073,0.8727748081088066,0.9382565915584564,1.00709969997406
c,1,hmm_prob_state_1,0.8898396527270476,0.026743900261338396,0.8390592247247696,0.8887722194194794,0.9403182685375213
c,2,hmm_prob_state_2,0.8043109355370204,0.02947703449830455,0.7490408986806869,0.8046932816505432,0.8635365828871727
c,3,hmm_prob_state_3,0.933616470048825,0.03605004163771356,0.8655677065253258,0.9331828057765961,1.0032619595527648
nu,0,hmm_prob_state_0,10.39257202386856,1.509778277854952,7.768280112743378,10.305359363555908,13.529579019546505
nu,1,hmm_prob_state_1,10.39257202386856,1.509778277854952,7.768280112743378,10.305359363555908,13.529579019546505
nu,2,hmm_prob_state_2,10.39257202386856,1.509778277854952,7.768280112743378,10.305359363555908,13.529579019546505
nu,3,hmm_prob_state_3,10.39257202386856,1.509778277854952,7.768280112743378,10.305359363555908,13.529579019546505
