,mu_0,mu_1,mu_2,mu_3,c_0,c_1,c_2,c_3,nu_0,nu_1,nu_2,nu_3
mu_0,1.0,0.01078254946932416,-0.016367418291697633,0.06955645541797068,0.17175704284462404,-0.17623349900158,0.015016919414632901,-0.03462849229785133,0.03255371548533419,0.03255371548533419,0.03255371548533419,0.03255371548533419
mu_1,0.01078254946932416,1.0,0.12605148682330172,0.13446342448501125,0.03108410166955811,0.00528709133080467,0.12639574077885368,0.03238244636938039,-0.02880452355677971,-0.02880452355677971,-0.02880452355677971,-0.02880452355677971
mu_2,-0.016367418291697633,0.12605148682330172,1.0,-0.06214203579757808,-0.002797447577798745,0.011912451332349935,0.09140469393473652,0.17735624334275815,-0.0415423714178034,-0.0415423714178034,-0.0415423714178034,-0.0415423714178034
mu_3,0.06955645541797068,0.13446342448501125,-0.06214203579757808,1.0,-0.015164748416289824,0.0406482503702721,-0.0017500886737999615,-0.16204282045383223,-0.011522750962281126,-0.011522750962281126,-0.011522750962281126,-0.011522750962281126
c_0,0.17175704284462404,0.03108410166955811,-0.002797447577798745,-0.015164748416289824,1.0,0.05969994686261434,0.079526794928816,-0.06029877610756652,0.3604237339582829,0.3604237339582829,0.3604237339582829,0.3604237339582829
c_1,-0.17623349900158,0.00528709133080467,0.011912451332349935,0.0406482503702721,0.05969994686261434,1.0,0.16242030959914017,-0.16742287859615645,0.2696577675122588,0.2696577675122588,0.2696577675122588,0.2696577675122588
c_2,0.015016919414632901,0.12639574077885368,0.09140469393473652,-0.0017500886737999615,0.079526794928816,0.16242030959914017,1.0,0.06404703529946425,0.35464180596099565,0.35464180596099565,0.35464180596099565,0.35464180596099565
c_3,-0.03462849229785133,0.03238244636938039,0.17735624334275815,-0.16204282045383223,-0.06029877610756652,-0.16742287859615645,0.06404703529946425,1.0,0.2301326813067656,0.2301326813067656,0.2301326813067656,0.2301326813067656
nu_0,0.03255371548533419,-0.02880452355677971,-0.0415423714178034,-0.011522750962281126,0.3604237339582829,0.2696577675122588,0.35464180596099565,0.2301326813067656,1.0,1.0,1.0,1.0
nu_1,0.03255371548533419,-0.02880452355677971,-0.0415423714178034,-0.011522750962281126,0.3604237339582829,0.2696577675122588,0.35464180596099565,0.2301326813067656,1.0,1.0,1.0,1.0
nu_2,0.03255371548533419,-0.02880452355677971,-0.0415423714178034,-0.011522750962281126,0.3604237339582829,0.2696577675122588,0.35464180596099565,0.2301326813067656,1.0,1.0,1.0,1.0
nu_3,0.03255371548533419,-0.02880452355677971,-0.0415423714178034,-0.011522750962281126,0.3604237339582829,0.2696577675122588,0.35464180596099565,0.2301326813067656,1.0,1.0,1.0,1.0
