horizon,scenario_mode,seed,pit_bin,count
20,point_estimate,11,"(-0.001, 0.1]",140
20,point_estimate,11,"(0.1, 0.2]",164
20,point_estimate,11,"(0.2, 0.3]",212
20,point_estimate,11,"(0.3, 0.4]",200
20,point_estimate,11,"(0.4, 0.5]",197
20,point_estimate,11,"(0.5, 0.6]",207
20,point_estimate,11,"(0.6, 0.7]",227
20,point_estimate,11,"(0.7, 0.8]",237
20,point_estimate,11,"(0.8, 0.9]",190
20,point_estimate,11,"(0.9, 1.0]",112
20,point_estimate,42,"(-0.001, 0.1]",136
20,point_estimate,42,"(0.1, 0.2]",169
20,point_estimate,42,"(0.2, 0.3]",206
20,point_estimate,42,"(0.3, 0.4]",189
20,point_estimate,42,"(0.4, 0.5]",208
20,point_estimate,42,"(0.5, 0.6]",226
20,point_estimate,42,"(0.6, 0.7]",218
20,point_estimate,42,"(0.7, 0.8]",237
20,point_estimate,42,"(0.8, 0.9]",189
20,point_estimate,42,"(0.9, 1.0]",108
20,point_estimate,73,"(-0.001, 0.1]",139
20,point_estimate,73,"(0.1, 0.2]",162
20,point_estimate,73,"(0.2, 0.3]",201
20,point_estimate,73,"(0.3, 0.4]",206
20,point_estimate,73,"(0.4, 0.5]",205
20,point_estimate,73,"(0.5, 0.6]",221
20,point_estimate,73,"(0.6, 0.7]",207
20,point_estimate,73,"(0.7, 0.8]",234
20,point_estimate,73,"(0.8, 0.9]",204
20,point_estimate,73,"(0.9, 1.0]",107
20,posterior_mean_mc,11,"(-0.001, 0.1]",312
20,posterior_mean_mc,11,"(0.1, 0.2]",146
20,posterior_mean_mc,11,"(0.2, 0.3]",138
20,posterior_mean_mc,11,"(0.3, 0.4]",142
20,posterior_mean_mc,11,"(0.4, 0.5]",128
20,posterior_mean_mc,11,"(0.5, 0.6]",155
20,posterior_mean_mc,11,"(0.6, 0.7]",157
20,posterior_mean_mc,11,"(0.7, 0.8]",170
20,posterior_mean_mc,11,"(0.8, 0.9]",228
20,posterior_mean_mc,11,"(0.9, 1.0]",309
20,posterior_mean_mc,42,"(-0.001, 0.1]",307
20,posterior_mean_mc,42,"(0.1, 0.2]",152
20,posterior_mean_mc,42,"(0.2, 0.3]",141
20,posterior_mean_mc,42,"(0.3, 0.4]",125
20,posterior_mean_mc,42,"(0.4, 0.5]",134
20,posterior_mean_mc,42,"(0.5, 0.6]",163
20,posterior_mean_mc,42,"(0.6, 0.7]",168
20,posterior_mean_mc,42,"(0.7, 0.8]",161
20,posterior_mean_mc,42,"(0.8, 0.9]",230
20,posterior_mean_mc,42,"(0.9, 1.0]",305
20,posterior_mean_mc,73,"(-0.001, 0.1]",304
20,posterior_mean_mc,73,"(0.1, 0.2]",159
20,posterior_mean_mc,73,"(0.2, 0.3]",129
20,posterior_mean_mc,73,"(0.3, 0.4]",135
20,posterior_mean_mc,73,"(0.4, 0.5]",138
20,posterior_mean_mc,73,"(0.5, 0.6]",154
20,posterior_mean_mc,73,"(0.6, 0.7]",154
20,posterior_mean_mc,73,"(0.7, 0.8]",181
20,posterior_mean_mc,73,"(0.8, 0.9]",206
20,posterior_mean_mc,73,"(0.9, 1.0]",322
20,variational_posterior,11,"(-0.001, 0.1]",304
20,variational_posterior,11,"(0.1, 0.2]",148
20,variational_posterior,11,"(0.2, 0.3]",136
20,variational_posterior,11,"(0.3, 0.4]",150
20,variational_posterior,11,"(0.4, 0.5]",120
20,variational_posterior,11,"(0.5, 0.6]",158
20,variational_posterior,11,"(0.6, 0.7]",179
20,variational_posterior,11,"(0.7, 0.8]",166
20,variational_posterior,11,"(0.8, 0.9]",219
20,variational_posterior,11,"(0.9, 1.0]",306
20,variational_posterior,42,"(-0.001, 0.1]",306
20,variational_posterior,42,"(0.1, 0.2]",144
20,variational_posterior,42,"(0.2, 0.3]",146
20,variational_posterior,42,"(0.3, 0.4]",132
20,variational_posterior,42,"(0.4, 0.5]",142
20,variational_posterior,42,"(0.5, 0.6]",154
20,variational_posterior,42,"(0.6, 0.7]",160
20,variational_posterior,42,"(0.7, 0.8]",166
20,variational_posterior,42,"(0.8, 0.9]",234
20,variational_posterior,42,"(0.9, 1.0]",302
20,variational_posterior,73,"(-0.001, 0.1]",298
20,variational_posterior,73,"(0.1, 0.2]",151
20,variational_posterior,73,"(0.2, 0.3]",145
20,variational_posterior,73,"(0.3, 0.4]",137
20,variational_posterior,73,"(0.4, 0.5]",136
20,variational_posterior,73,"(0.5, 0.6]",157
20,variational_posterior,73,"(0.6, 0.7]",159
20,variational_posterior,73,"(0.7, 0.8]",176
20,variational_posterior,73,"(0.8, 0.9]",219
20,variational_posterior,73,"(0.9, 1.0]",308
