horizon,model,feature,importance
20,Random Forest,vol_60,0.09007463421070633
20,Random Forest,sma_ratio_20,0.07973721798465644
20,Random Forest,vol_10,0.06323871641120124
20,Random Forest,ret_20,0.0631526708818507
20,Random Forest,vol_20,0.05971485932849908
20,Random Forest,mom_20,0.056943235199172985
20,Random Forest,sma_ratio_60,0.05683316700234504
20,Random Forest,sma_ratio_120,0.04722946182022658
20,Random Forest,mom_120,0.04488160770522269
20,Random Forest,sma_ratio_10,0.042696282616888175
20,Random Forest,ret_120,0.040001573665026414
20,Random Forest,vol_120,0.03958772860252802
20,Random Forest,mom_60,0.03932973238527588
20,Random Forest,ret_60,0.036524984258770356
20,Random Forest,mom_10,0.028657307776071683
20,Random Forest,ret_5,0.024184283791325444
20,Random Forest,macd_hist,0.022825647599904894
20,Random Forest,vol_5,0.0190934471608318
20,Random Forest,ret_10,0.01783320424891696
20,Random Forest,sma_ratio_5,0.014997186210353135
