date,open,high,low,close,volume
2000-07-28,100.0,100.0,100.0,100.0,4200.0
2000-07-31,101.5,101.5,101.5,101.5,10300.0
2000-08-02,103.4,103.4,103.4,103.4,300.0
2000-08-04,105.2,105.2,105.2,105.2,3800.0
2000-08-07,106.9,106.9,106.9,106.9,13200.0
2000-08-09,108.6,108.6,108.6,108.6,15930.0
2000-08-11,110.4,110.4,110.4,110.4,13600.0
2000-08-14,112.1,112.1,112.1,112.1,11700.0
2000-08-16,113.8,113.8,113.8,113.8,23000.0
2000-08-18,115.5,115.5,115.5,115.5,10400.0
2000-08-21,117.2,117.2,117.2,117.2,35500.0
2000-08-23,119.0,119.0,119.0,119.0,111400.0
2000-08-25,118.8,118.8,118.8,118.8,95220.0
2000-08-28,117.0,117.0,117.0,117.0,97920.0
2000-08-30,115.2,115.2,115.2,115.2,126510.0
2000-09-01,113.4,113.4,113.4,113.4,96600.0
2000-09-06,112.5,112.5,112.5,112.5,60900.0
2000-09-08,112.4,112.4,112.4,112.4,49500.0
2000-09-11,114.1,114.1,114.1,114.1,31300.0
2000-09-13,116.1,116.1,116.1,116.1,18400.0
2000-09-15,118.0,118.0,118.0,118.0,45900.0
2000-09-18,118.2,118.2,118.2,118.2,64600.0
2000-09-20,118.2,118.2,118.2,118.2,41600.0
2000-09-22,118.8,118.8,118.8,118.8,66900.0
2000-09-25,119.0,119.0,119.0,119.0,56600.0
2000-09-27,119.7,119.7,119.7,119.7,56610.0
2000-09-29,120.7,120.7,120.7,120.7,52800.0
2000-10-02,120.9,120.9,120.9,120.9,48600.0
2000-10-04,121.1,121.1,121.1,121.1,58400.0
2000-10-06,122.2,122.2,122.2,122.2,39600.0
2000-10-09,124.3,124.3,124.3,124.3,25900.0
2000-10-11,126.5,126.5,126.5,126.5,53300.0
2000-10-13,128.6,128.6,128.6,128.6,51900.0
2000-10-16,130.7,130.7,130.7,130.7,26600.0
2000-10-18,132.8,132.8,132.8,132.8,25700.0
2000-10-20,135.0,135.0,135.0,135.0,65900.0
2000-10-23,136.6,136.6,136.6,136.6,39100.0
2000-10-25,137.1,137.1,137.1,137.1,45000.0
2000-10-27,139.6,139.6,139.6,139.6,88200.0
2000-10-30,140.8,140.8,140.8,140.8,101200.0
