model,horizon,class,precision,recall,f1,support
MACD,20,Bull,0.39453125,0.43070362473347545,0.41182466870540263,469
MACD,20,Sideway,0.369281045751634,0.25055432372505543,0.2985468956406869,451
MACD,20,Bear,0.08463949843260188,0.2,0.11894273127753303,135
MACD,20,Stress,0.09243697478991597,0.05472636815920398,0.06875,201
RAEMF-MC,20,Bull,0.4430379746835443,0.22388059701492538,0.29745042492917845,469
RAEMF-MC,20,Sideway,0.4262626262626263,0.4678492239467849,0.44608879492600423,451
RAEMF-MC,20,Bear,0.14957264957264957,0.25925925925925924,0.1897018970189702,135
RAEMF-MC,20,Stress,0.23448275862068965,0.3383084577114428,0.2769857433808554,201
XGBoost,20,Bull,0.44529262086513993,0.373134328358209,0.4060324825986079,469
XGBoost,20,Sideway,0.43656716417910446,0.5188470066518847,0.47416413373860183,451
XGBoost,20,Bear,0.19047619047619047,0.11851851851851852,0.1461187214611872,135
XGBoost,20,Stress,0.27983539094650206,0.3383084577114428,0.3063063063063063,201
Random Forest,20,Bull,0.5033112582781457,0.32409381663113007,0.3942931258106355,469
Random Forest,20,Sideway,0.4470774091627172,0.6274944567627494,0.522140221402214,451
Random Forest,20,Bear,0.1368421052631579,0.0962962962962963,0.11304347826086956,135
Random Forest,20,Stress,0.3672566371681416,0.4129353233830846,0.38875878220140514,201
MACD,40,Bull,0.3654223968565815,0.39490445859872614,0.3795918367346939,471
MACD,40,Sideway,0.3474025974025974,0.23210412147505424,0.27828348504551365,461
MACD,40,Bear,0.04430379746835443,0.14736842105263157,0.0681265206812652,95
MACD,40,Stress,0.058823529411764705,0.03111111111111111,0.040697674418604654,225
RAEMF-MC,40,Bull,0.37604456824512533,0.28662420382165604,0.3253012048192771,471
RAEMF-MC,40,Sideway,0.4309859154929577,0.3318872017353579,0.375,461
RAEMF-MC,40,Bear,0.05747126436781609,0.05263157894736842,0.054945054945054944,95
RAEMF-MC,40,Stress,0.2106430155210643,0.4222222222222222,0.28106508875739644,225
XGBoost,40,Bull,0.4423963133640553,0.40764331210191085,0.4243093922651934,471
XGBoost,40,Sideway,0.43005181347150256,0.3600867678958785,0.3919716646989374,461
XGBoost,40,Bear,0.02654867256637168,0.031578947368421054,0.028846153846153848,95
XGBoost,40,Stress,0.19435736677115986,0.27555555555555555,0.22794117647058823,225
Random Forest,40,Bull,0.4732620320855615,0.37579617834394907,0.41893491124260357,471
Random Forest,40,Sideway,0.458477508650519,0.5748373101952278,0.5101058710298364,461
Random Forest,40,Bear,0.07407407407407407,0.10526315789473684,0.08695652173913043,95
Random Forest,40,Stress,0.13333333333333333,0.09777777777777778,0.11282051282051282,225
MACD,60,Bull,0.39478957915831664,0.4227467811158798,0.4082901554404145,466
MACD,60,Sideway,0.4057507987220447,0.26403326403326405,0.3198992443324937,481
MACD,60,Bear,0.056782334384858045,0.2571428571428571,0.09302325581395349,70
MACD,60,Stress,0.025210084033613446,0.012987012987012988,0.017142857142857144,231
RAEMF-MC,60,Bull,0.3508771929824561,0.2145922746781116,0.2663115845539281,466
RAEMF-MC,60,Sideway,0.3088803088803089,0.16632016632016633,0.21621621621621623,481
RAEMF-MC,60,Bear,0.1111111111111111,0.17142857142857143,0.1348314606741573,70
RAEMF-MC,60,Stress,0.1476510067114094,0.38095238095238093,0.21281741233373638,231
XGBoost,60,Bull,0.4171779141104294,0.2918454935622318,0.3434343434343434,466
XGBoost,60,Sideway,0.38666666666666666,0.30145530145530147,0.338785046728972,481
XGBoost,60,Bear,0.043478260869565216,0.02857142857142857,0.034482758620689655,70
XGBoost,60,Stress,0.17564870259481039,0.38095238095238093,0.24043715846994534,231
Random Forest,60,Bull,0.4,0.26609442060085836,0.31958762886597936,466
Random Forest,60,Sideway,0.39488117001828155,0.4490644490644491,0.42023346303501946,481
Random Forest,60,Bear,0.008620689655172414,0.014285714285714285,0.010752688172043012,70
Random Forest,60,Stress,0.15636363636363637,0.18614718614718614,0.16996047430830039,231
