parameter,regime,regime_label,q025,q50,q975
mu,0,hmm_prob_state_0,-0.00010555718005693236,0.00028602476380574767,0.0006600188179525206
mu,1,hmm_prob_state_1,0.00023190643863899694,0.0008475956481065431,0.0014917335261721999
mu,2,hmm_prob_state_2,4.345995343060333e-05,0.0005014482014027621,0.000936364511713886
mu,3,hmm_prob_state_3,-3.667545253305138e-05,0.001017311972345,0.002113672906106692
c,0,hmm_prob_state_0,0.7135854631662368,0.7523731291294098,0.7915601804852486
c,1,hmm_prob_state_1,0.7603765621781349,0.8086230456829071,0.8529624864459038
c,2,hmm_prob_state_2,0.7834380239248275,0.826980710029602,0.8682328432798385
c,3,hmm_prob_state_3,0.9031779155135155,0.9555076360702515,1.0075411766767501
nu,0,hmm_prob_state_0,5.772951674461365,6.643819093704224,7.7556773781776425
nu,1,hmm_prob_state_1,5.772951674461365,6.643819093704224,7.7556773781776425
nu,2,hmm_prob_state_2,5.772951674461365,6.643819093704224,7.7556773781776425
nu,3,hmm_prob_state_3,5.772951674461365,6.643819093704224,7.7556773781776425
