,mu_0,mu_1,mu_2,mu_3,c_0,c_1,c_2,c_3,nu_0,nu_1,nu_2,nu_3
mu_0,1.0,-0.16639296237768653,-0.011948939759876655,0.0272229394261832,-0.008727844238388651,0.062032535284750646,0.09950410230891756,-0.1216247380498403,0.05104309293221377,0.05104309293221377,0.05104309293221377,0.05104309293221377
mu_1,-0.16639296237768653,1.0,-0.14050083417950274,0.3976952469399397,-0.001169696841220156,0.022359269416233844,0.1614213472346086,-0.01461382331061706,-0.061551694575436994,-0.061551694575436994,-0.061551694575436994,-0.061551694575436994
mu_2,-0.011948939759876655,-0.14050083417950274,1.0,-0.22613289648688073,-0.16786531853412823,-0.1822701063657614,0.06067645425246513,0.12059979799968526,-0.07849572464914563,-0.07849572464914563,-0.07849572464914563,-0.07849572464914563
mu_3,0.0272229394261832,0.3976952469399397,-0.22613289648688073,1.0,0.13024665317420772,0.0029047050051954557,0.08009018358520595,0.025305140142331747,-0.02168580824587137,-0.02168580824587137,-0.02168580824587137,-0.02168580824587137
c_0,-0.008727844238388651,-0.001169696841220156,-0.16786531853412823,0.13024665317420772,1.0,0.052986757705627524,0.08686580018533487,0.0338531388914604,0.33622541902599984,0.33622541902599984,0.33622541902599984,0.33622541902599984
c_1,0.062032535284750646,0.022359269416233844,-0.1822701063657614,0.0029047050051954557,0.052986757705627524,1.0,0.2288086100001181,-0.13803794916298462,0.3795596731488142,0.3795596731488142,0.3795596731488142,0.3795596731488142
c_2,0.09950410230891756,0.1614213472346086,0.06067645425246513,0.08009018358520595,0.08686580018533487,0.2288086100001181,1.0,0.10970165250949232,0.3140542524461985,0.3140542524461985,0.3140542524461985,0.3140542524461985
c_3,-0.1216247380498403,-0.01461382331061706,0.12059979799968526,0.025305140142331747,0.0338531388914604,-0.13803794916298462,0.10970165250949232,1.0,0.29619844075059815,0.29619844075059815,0.29619844075059815,0.29619844075059815
nu_0,0.05104309293221377,-0.061551694575436994,-0.07849572464914563,-0.02168580824587137,0.33622541902599984,0.3795596731488142,0.3140542524461985,0.29619844075059815,1.0,1.0,1.0,1.0
nu_1,0.05104309293221377,-0.061551694575436994,-0.07849572464914563,-0.02168580824587137,0.33622541902599984,0.3795596731488142,0.3140542524461985,0.29619844075059815,1.0,1.0,1.0,1.0
nu_2,0.05104309293221377,-0.061551694575436994,-0.07849572464914563,-0.02168580824587137,0.33622541902599984,0.3795596731488142,0.3140542524461985,0.29619844075059815,1.0,1.0,1.0,1.0
nu_3,0.05104309293221377,-0.061551694575436994,-0.07849572464914563,-0.02168580824587137,0.33622541902599984,0.3795596731488142,0.3140542524461985,0.29619844075059815,1.0,1.0,1.0,1.0
