feature,importance
sma_slope_200,0.3796047071972701
downside_vol_60,0.2720088847312217
parkinson_volatility,0.1746184124625626
sma_distance_100,0.16814995774259403
sma_slope_100,0.15743312740747575
upside_vol_40,0.1476658458920935
log_volume,0.1451217027661161
hmm_state_duration,0.12750343582725615
vol_of_vol_40,0.1257806670256539
ma_cross_200,0.1240290783552832
ema_distance_200,0.11957470299366907
macd,0.1193119912919838
ma_cross_200 & atr_14,0.11831791288422655
up_ratio_60,0.11057664023865939
upside_vol_60,0.10923766782737504
drawdown_from_high_60,0.10678710378244692
downside_vol_40,0.10652716383825818
distance_from_low_60,0.1063829048797193
vol_of_vol_60,0.10366706455659527
macd_signal,0.09620359921972238
ema_distance_200 & month,0.09603590708700203
sma_distance_200,0.09450017940855478
ma_cross_100,0.0937864695419993
up_ratio_60 & month,0.08215012536366378
egarch_volatility_percentile,0.08068593556336613
month,0.07490976595888636
quarter,0.07171706729858451
vol_of_vol_20,0.0690087192120325
drawdown_from_high_40,0.06480071967215092
bollinger_bandwidth,0.059605423795588586
