feature,importance
sma_slope_200,0.05671568315248761
upside_vol_60,0.04103260497562572
downside_vol_60,0.04093055366118567
ema_distance_200,0.03809445499305192
sma_distance_200,0.03704049635330521
downside_vol_40,0.036060937659570226
volatility_60,0.033112646510755434
sma_slope_100,0.0317625531311184
parkinson_volatility,0.031168002355044567
upside_vol_40,0.030403332646110365
month,0.029931521597994754
volatility_40,0.028680613494723617
log_volume,0.027823699471541532
sma_distance_100,0.024051242574994008
vol_of_vol_60,0.023682149118339605
ewma_volatility,0.023444743324265094
drawdown_from_high_60,0.021001951104566225
macd_signal,0.020109058302270295
quarter,0.018277553856091464
downside_vol_20,0.017775270421652674
upside_vol_20,0.017443721995266673
volatility_20,0.015986574060155787
ema_slope_50,0.014979560986897922
atr_14,0.01413961694017054
distance_from_low_60,0.01314233332542991
macd,0.013031251669918515
vol_of_vol_40,0.011981387734788984
hmm_state_duration,0.011882625349917507
sma_slope_50,0.011500011770283721
hl_range,0.011451948754897526
