feature,importance
up_ratio_10,0.028018681
hmm_expected_return,0.022462524
egarch_log_variance,0.022108681
log_return_20,0.017673342
ma_cross_100,0.016409105
distance_from_low_60,0.014673271
upside_vol_40,0.014524465
sma_slope_100,0.014340523
distance_from_low_40,0.014289148
downside_vol_40,0.0142465485
hmm_prob_state_2,0.0141298985
log_volume,0.013824778
drawdown_from_high_40,0.013766934
sma_slope_200,0.013751909
quarter,0.013741811
volatility_40,0.01355581
ma_cross_200,0.013270091
egarch_sigma,0.013232741
drawdown_from_high_60,0.0131272385
downside_vol_60,0.013087895
up_ratio_60,0.013021986
volatility_60,0.012874418
upside_vol_60,0.012837593
ma_cross_50,0.012781111
parkinson_volatility,0.012631464
month,0.0124130715
ema_distance_200,0.012349753
sma_slope_50,0.012332735
vol_of_vol_40,0.012328969
downside_vol_20,0.01219894
