model,horizon,n_obs,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc,brier,log_loss,ece,recall_bear,recall_stress
MACD,20,1256,0.28105095541401276,0.23399607915443368,0.23522219224353796,0.23399607915443368,0.22451607390590564,0.28476627251532693,-0.0015899276942350606,1.2270343949044584,2.3501353901265714,0.5989490445859873,0.2,0.05472636815920398
RAEMF-MC,20,1256,0.3335987261146497,0.3223243844831031,0.31333900228487743,0.3223243844831031,0.3025567150637521,0.3359667088539216,0.09135910227048387,0.7422838104703189,1.3706812182974248,0.029187981605963257,0.25925925925925924,0.3383084577114428
XGBoost,20,1256,0.392515923566879,0.3372020778100137,0.33804284161673426,0.3372020778100137,0.3331554110261758,0.3866009981048442,0.12283336228492701,0.7283197078768091,1.344363833353608,0.08804204536139,0.11851851851851852,0.3383084577114428
Random Forest,20,1256,0.42277070063694266,0.3652049732683151,0.36362185246804063,0.3652049732683151,0.3545589019187811,0.40908447503605605,0.17129209113944346,0.7320481731153898,1.3515549869252932,0.13597628350313895,0.0962962962962963,0.4129353233830846
MACD,40,1252,0.2507987220447284,0.20137202805938076,0.2039880802848245,0.20137202805938076,0.19167487922001936,0.25775194721799427,-0.04178237625650764,1.277858146964856,2.4436463277799323,0.6292012779552716,0.14736842105263157,0.03111111111111111
RAEMF-MC,40,1252,0.30990415335463256,0.27334130168165116,0.2687861909067409,0.27334130168165116,0.25907783713043214,0.3151368152237012,0.03980987012222983,0.7245888279506981,1.3255223691265547,0.07531521589428535,0.05263157894736842,0.4222222222222222
XGBoost,40,1252,0.33785942492012777,0.2687161457304415,0.27333854154327236,0.26871614573044145,0.2682670968202182,0.34710527995557766,0.05914538018663908,0.7274780670703387,1.3378673653477524,0.03951401527808491,0.031578947368421054,0.27555555555555555
Random Forest,40,1252,0.37859424920127793,0.28841860605292285,0.284786737035872,0.28841860605292285,0.2822044542080208,0.372302423873685,0.09511113835063834,0.732017490878725,1.3505521864734145,0.09128607981448134,0.10526315789473684,0.09777777777777778
MACD,60,1248,0.2764423076923077,0.2392274788197535,0.22063319907470821,0.2392274788197535,0.20958887818242972,0.2841397250529963,-0.0020557887045886416,1.234776923076923,2.364380915886935,0.6035576923076923,0.2571428571428571,0.012987012987012988
RAEMF-MC,60,1248,0.22435897435897437,0.23332334834480756,0.2296299049213214,0.23332334834480756,0.2075441684445095,0.22972774270706298,-0.05082112858992631,0.7864400375427706,1.433634314066927,0.18526484261164786,0.17142857142857143,0.38095238095238093
XGBoost,60,1248,0.297275641025641,0.2507061511353357,0.25574288606036794,0.2507061511353357,0.23928482681348756,0.3052490290280811,0.011162122678074017,0.7416658839841126,1.3584313207471097,0.04176855794775627,0.02857142857142857,0.38095238095238093
Random Forest,60,1248,0.3076923076923077,0.22889794252455198,0.2399663740092726,0.22889794252455198,0.23013356359533557,0.31336032733064995,1.8834856937657105e-05,0.7396861479933171,1.3595334413543032,0.03334461134030296,0.014285714285714285,0.18614718614718614
