step,q025,q050,q100,q250,q500,q750,q900,q950,q975
0,1865.37,1865.37,1865.37,1865.37,1865.37,1865.37,1865.37,1865.37,1865.37
1,1839.6481149455935,1844.3847664986881,1850.2918281287416,1859.7342085030075,1868.1222241176447,1876.5973498748642,1886.1729422773606,1892.954422385716,1899.7995542254735
2,1823.130667984902,1835.2704170842483,1845.3146332349277,1857.9017819156538,1871.2733878362126,1883.5386684004227,1896.985994777169,1906.1193013596003,1916.5968331613824
3,1820.4872888489385,1829.85482997914,1842.0360096316854,1858.2264396435526,1874.2788067775641,1889.711471229519,1907.0028287431298,1922.0591823369657,1935.1141514523385
4,1807.1104734348582,1821.125537574031,1835.9304134865297,1857.0647672208115,1877.1044257577507,1895.5436083940335,1913.4590461521075,1930.794074215696,1946.432843101014
5,1801.2015896859484,1813.8443232856628,1833.2856613312758,1857.1248912235196,1879.069044071606,1901.7323674078737,1922.332107370191,1943.3036042912343,1962.915918710793
6,1789.2960873783913,1807.948603045368,1830.133157002138,1856.6229964371923,1882.96108550591,1907.9324642109416,1932.6677880352586,1952.95610857859,1970.2218541212067
7,1785.093827722217,1810.6708155271494,1828.5585741573493,1856.469465533315,1885.7189320072255,1912.1007329252598,1942.1140389188438,1964.9002484854016,1992.585414330255
8,1765.8705782612358,1800.044285081892,1825.1474945168306,1858.7557856948679,1889.7812995748327,1920.4103490893847,1951.2328889887938,1984.0356205033504,2022.0880347400193
9,1768.811629735741,1795.6024294411154,1822.6133744074136,1857.0140341891477,1890.1216079322533,1924.593502477978,1958.188798117528,1990.6650323729318,2024.6975360547685
10,1752.4903099724409,1786.5869898481446,1817.5872319423247,1858.1104373634166,1893.7472197257218,1929.0376069532995,1967.9237556677517,2000.938298134114,2044.0566736942428
11,1750.3384312641374,1789.5731819494815,1816.2853513489158,1858.944947030427,1893.504859044658,1934.8440129109729,1978.9088442989998,2014.1134261479485,2070.202227431468
12,1732.4190807358816,1774.2475726645193,1817.6549403748188,1854.5234470232024,1896.5728843281347,1938.4525977667413,1985.5321431021564,2022.853812927474,2082.163142449179
13,1713.710117139563,1765.0084382801117,1807.7398572494365,1855.866345161358,1898.9695920693775,1942.4767367476886,1991.4351921988105,2029.0880841132728,2083.1420993305533
14,1701.0110889744453,1738.0594657292338,1800.6432103074576,1855.459183492858,1901.3992323139462,1948.863293500201,2000.7557122127305,2050.108575363333,2109.1361605821767
15,1677.3877603288902,1741.1908002904072,1797.6941322872267,1855.6628883351339,1902.8393365577904,1954.0156743161867,2012.1487457403387,2054.0360883198714,2112.021190066292
16,1672.5962417961332,1741.55402311158,1798.786731041119,1857.2358342930502,1903.2336994027685,1962.0941801559577,2023.9487071696628,2074.696737593076,2176.5233983993226
17,1655.9494771783752,1730.2407806674664,1791.1869223884619,1854.6175971202324,1904.1338385231172,1965.3595569644185,2034.9446304776257,2087.992257554857,2170.780538932688
18,1631.8950854675738,1706.3903507516845,1791.6834267503832,1855.1484688752005,1909.1218850165974,1969.4455323822403,2035.2741045527662,2109.665227602147,2252.7408061238493
19,1609.5734641067281,1695.4205787232816,1782.2511549041733,1856.8002206250862,1911.4227229264668,1973.8748321259195,2051.865631122144,2110.761846094916,2205.916473281346
20,1613.0816279589126,1682.909411081597,1766.1823083001902,1853.108792032138,1913.314798659693,1982.0535443785982,2068.991710593135,2141.207462529258,2286.2282168001707
21,1590.9538062417637,1678.8748258684507,1761.2208843321407,1851.9296365227904,1911.9868538100275,1986.996865910103,2077.136796089074,2145.225300715027,2329.447945349311
22,1518.2276892237362,1664.9283647148993,1756.4509694484755,1853.7718926631915,1912.650669384375,1988.17571945338,2081.1559313735834,2160.215094673575,2430.392846829535
23,1456.2823953129039,1640.4716472124153,1748.9817124035794,1850.940784157528,1915.9949080661459,1991.719256607115,2081.946100737222,2173.037668746384,2537.357153749078
24,1425.262848933608,1618.2379960479661,1737.1222905701227,1849.8431802185517,1915.6353186619308,1998.746351911203,2091.4159078605185,2190.0389986345344,2476.4549221230377
25,1397.786577032551,1622.0036245353158,1739.833385716348,1844.1050299244014,1918.8717263373157,1998.7423808430492,2096.444807895226,2234.180775771939,2575.860191214161
