trial,horizon,objective,status,runtime_seconds,learning_rate,max_rounds,interactions,max_bins,min_samples_leaf,outer_bags
0,20,0.7155105189440921,complete,5.816324949264526,0.04,80,0,96,5,2
1,20,0.7154079458872152,complete,4.802643299102783,0.025,50,0,64,10,2
2,20,0.7191695242227567,complete,4.656006097793579,0.04,50,0,64,2,2
3,20,0.7004962789636217,complete,4.176703691482544,0.04,30,0,64,10,2
4,20,0.7113424802883159,complete,4.790711164474487,0.025,50,0,64,5,2
5,20,0.7123960113313319,complete,6.0611255168914795,0.025,80,0,96,5,2
6,20,0.7110165166921266,complete,4.823005199432373,0.04,50,0,64,10,2
7,20,0.7018349082935708,complete,4.190131902694702,0.015,30,0,64,10,2
8,20,0.6976417380020438,complete,4.302842855453491,0.03,30,0,96,5,2
9,20,0.7191900320555881,complete,5.027746200561523,0.03,50,0,96,5,2
10,20,0.7015609359659817,complete,4.773344993591309,0.015,50,0,64,2,2
11,20,0.7039496283501677,complete,4.9071364402771,0.025,50,0,96,10,2
12,20,0.6991866018683789,complete,4.941046953201294,0.015,50,0,96,10,2
13,20,0.7061260528667318,complete,5.959517002105713,0.015,80,0,96,10,2
14,20,0.7068566792808966,complete,4.791909217834473,0.025,50,0,64,2,2
0,40,0.7132468433886009,complete,4.878021001815796,0.025,50,0,96,2,2
1,40,0.6952568096783098,complete,4.265513896942139,0.025,30,0,96,10,2
2,40,0.7029600002040951,complete,4.929887056350708,0.015,50,0,96,5,2
3,40,0.72729881241427,complete,5.838669061660767,0.04,80,0,96,5,2
4,40,0.7314483930111367,complete,5.922475814819336,0.015,80,0,96,2,2
5,40,0.7023472223994403,complete,4.113476991653442,0.03,30,0,64,10,2
6,40,0.702036568806105,complete,4.273991107940674,0.025,30,0,64,5,2
7,40,0.7077725987264253,complete,4.662229299545288,0.025,50,0,64,5,2
8,40,0.7110557292836219,complete,4.792362213134766,0.025,50,0,64,10,2
9,40,0.7033941054438978,complete,4.340213060379028,0.015,30,0,96,5,2
10,40,0.7102290625626022,complete,4.3322083950042725,0.03,30,0,96,5,2
11,40,0.7190238847887835,complete,4.262399911880493,0.03,30,0,96,10,2
12,40,0.6952300742989787,complete,4.894338369369507,0.015,50,0,96,10,2
13,40,0.6962616299675917,complete,4.092889070510864,0.025,30,0,64,2,2
14,40,0.702219482633574,complete,4.282031774520874,0.025,30,0,96,5,2
0,60,0.7326495240530243,complete,4.692406177520752,0.04,50,0,64,10,2
1,60,0.7291139420813288,complete,4.1875245571136475,0.025,30,0,96,10,2
2,60,0.7787847247762318,complete,5.564085006713867,0.015,80,0,64,10,2
3,60,0.7351861656082407,complete,4.232611417770386,0.03,30,0,64,2,2
4,60,0.7466005879110865,complete,4.938119649887085,0.03,50,0,96,2,2
5,60,0.7386729025004284,complete,4.6429901123046875,0.03,50,0,64,5,2
6,60,0.7169440960095935,complete,4.2572126388549805,0.015,30,0,96,10,2
7,60,0.7448526905072241,complete,4.888331890106201,0.025,50,0,96,5,2
8,60,0.7221718670744375,complete,4.066354274749756,0.03,30,0,64,5,2
9,60,0.7268469373711445,complete,4.09660005569458,0.025,30,0,64,5,2
10,60,0.7907362605970257,complete,5.66350531578064,0.03,80,0,64,2,2
11,60,0.7893818152928409,complete,5.862238883972168,0.03,80,0,96,10,2
12,60,0.7503600290118754,complete,4.89955997467041,0.04,50,0,96,2,2
13,60,0.7606772120446413,complete,4.9727184772491455,0.03,50,0,96,10,2
14,60,0.7363867808247339,complete,4.297262907028198,0.03,30,0,96,10,2
