horizon,model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,mae,rmse,r2,spearman_ic,pred_return_mean,pred_return_std
5,MACD 12-26-9,0.5234972677595628,0.518442502354049,0.5971370143149284,0.5499058380414312,0.5725490196078431,0.5184425023540489,187,197,239,292,0.02104814138364453,0.028239081801984887,-0.006556579306523869,0.02544871830488099,0.0016885162249996538,0.004370934245330083
5,SVC,0.5540983606557377,0.5217381709039548,0.5953488372093023,0.7231638418079096,0.6530612244897959,0.5213629943502824,123,261,147,384,0.021499576660878175,0.029022854732257013,-0.06320572178587103,0.03640721830945947,0.004958243665451084,0.007723519869000799
5,SVR,0.4907103825136612,0.4898334510357816,0.5704989154013015,0.4952919020715631,0.530241935483871,0.48747940207156304,186,198,268,263,0.03007461411734738,0.0403486348953245,-1.054919157041812,0.003926747457209485,-0.002452655970803121,0.02921214746300858
5,Random Forest,0.5497267759562842,0.5172507650659134,0.5922480620155038,0.71939736346516,0.6496598639455783,0.5252569836785939,121,263,149,382,0.0212032520947866,0.028455188531208354,-0.022021386490397754,0.012597071629949275,0.0012292858213061634,0.00571135682997632
5,XGBoost,0.5486338797814208,0.50080920433145,0.5808219178082191,0.7984934086629002,0.6724821570182395,0.4800200094161958,78,306,107,424,0.021585834080106118,0.02903918805588767,-0.06440274873461771,-0.012307104717606253,0.0004321951128076762,0.007441654335707426
5,LightGBM,0.5256830601092897,0.49545374293785316,0.5771065182829889,0.6836158192090396,0.6258620689655172,0.46767106089139987,118,266,168,363,0.021922146426715212,0.02937193124021948,-0.0889352452549994,-0.05075252467770313,0.0003844516173705286,0.00734250779505207
5,CatBoost,0.5530054644808743,0.5146686676082862,0.5899705014749262,0.7532956685499058,0.6617038875103392,0.5004904268675455,106,278,131,400,0.021451829121111533,0.028720924985744672,-0.041199364516848025,-0.010692103004574209,0.0014547018800167054,0.00626728040862828
5,HMM Regime,0.546448087431694,0.5356932674199624,0.6106870229007634,0.6026365348399246,0.6066350710900474,0.5320224223163842,180,204,211,320,0.021402754892687295,0.028991328311947586,-0.06089713667076313,0.04785058793582302,0.002551348365904971,0.008736775418928883
20,MACD 12-26-9,0.5387978142076503,0.5328651093748433,0.6380368098159509,0.5601436265709157,0.5965583173996176,0.5328651093748433,181,177,245,312,0.042990899404319514,0.056590913305420106,-0.012993987332969859,0.033809966039991826,0.008646940731941005,0.00875957118318914
20,SVC,0.4786885245901639,0.45754641284615305,0.5743494423791822,0.5547576301615799,0.5643835616438356,0.4375144178209282,129,229,248,309,0.05036430398231032,0.06382895355127098,-0.28869134132250074,-0.10517213118371498,0.008052447736042507,0.026532146255194636
20,SVR,0.507103825136612,0.5203053067610804,0.6305418719211823,0.45960502692998206,0.5316718587746625,0.5346980532180575,208,150,301,256,0.059607789580207925,0.07965345729085369,-1.0068860915401614,0.07427241596075587,-0.008770189993283705,0.05689201937405675
20,Random Forest,0.5442622950819672,0.5049196112453989,0.6121794871794872,0.6858168761220825,0.6469093988145639,0.48456415554195964,116,242,175,382,0.044292016962202085,0.057831390108308726,-0.05789051929979849,-0.10574990817720387,0.004756409592498055,0.006756238673048119
20,XGBoost,0.5704918032786885,0.5344473085062637,0.6331168831168831,0.7001795332136446,0.6649616368286445,0.5708454108702847,132,226,167,390,0.044746508037354714,0.058431222894258006,-0.07994941367389896,0.013688453691611202,0.003686481388285756,0.015491938218474388
20,LightGBM,0.5519125683060109,0.5311625527817618,0.6333938294010889,0.6265709156193896,0.6299638989169675,0.5554496855661314,156,202,208,349,0.0467683360032475,0.06128578114745888,-0.188045062274401,-0.01881640131279933,0.002526112074486223,0.020530769704977015
20,CatBoost,0.5606557377049181,0.5338530435393117,0.634315424610052,0.6570915619389587,0.6455026455026455,0.5352647362667121,147,211,191,366,0.04631469784754267,0.06037368359768668,-0.1529455847215624,-0.10584048799522168,0.003650638562552264,0.014548982889762365
20,HMM Regime,0.507103825136612,0.4908653701493435,0.601145038167939,0.5655296229802513,0.5827937095282146,0.5003435202551578,149,209,242,315,0.04609336799375242,0.0592093479494048,-0.10890417467159774,-0.016476413710200644,0.010593149683484885,0.019034490750276037
60,MACD 12-26-9,0.4819672131147541,0.4658093394102227,0.6462167689161554,0.5121555915721232,0.5714285714285714,0.46580933941022273,125,173,301,316,0.06816701740166553,0.09227475245511575,-0.003579139888859162,0.019667180932487885,0.03127955446976309,0.007790224926693355
60,SVC,0.5486338797814208,0.5091697214275615,0.6808510638297872,0.6223662884927067,0.6502963590177815,0.48702315816953656,118,180,233,384,0.10025838623893765,0.12342293700029934,-0.7954677202185783,-0.07448404497386983,0.02541371837326405,0.07922988038474761
60,SVR,0.4819672131147541,0.4684117781427779,0.6480331262939959,0.5072933549432739,0.5690909090909091,0.4882577529287634,128,170,304,313,0.10559856439162939,0.13901146074830364,-1.2776503876582597,-0.003486071769107995,-0.01132820486589537,0.10282834609567856
60,Random Forest,0.5530054644808743,0.5115437329359425,0.6824561403508772,0.6304700162074555,0.6554338668913227,0.4939140460987893,117,181,228,389,0.07660226477931831,0.10388766155838494,-0.2720781396455989,-0.11792787980533359,0.010712804064086787,0.03236317992908178
60,XGBoost,0.5169398907103825,0.4856689110547899,0.6635514018691588,0.5753646677471637,0.6163194444444444,0.4806435121229591,118,180,262,355,0.08054406012337662,0.10692478127335407,-0.3475428656840496,-0.1336271067283742,0.0059931096620857716,0.04054676368832588
