feature,train_mean,test_mean,standardized_mean_shift,train_min,train_max,test_out_of_range_rate,horizon
ret_1,0.00044957626575779926,0.0006792724399661746,0.01646483534433148,-0.05871743129096196,0.04856832185574489,0.004424778761061947,20
log_ret_1,0.0003521915977555076,0.0006068139601164795,0.018247079153702113,-0.0605118989165474,0.04742573075884948,0.004424778761061947,20
ret_5,0.0024629561409562515,0.003585670780256275,0.029865751899713345,-0.16146870161468696,0.17612570356472812,0.0011061946902654867,20
vol_5,0.16985148946753115,0.15606092098447094,0.11327254645355704,0.002058689292725525,0.7870924994761737,0.00331858407079646,20
price_to_sma_5,0.0007524385087826832,0.001291840595734696,0.03068231790615144,-0.08199957695833038,0.07905155348997317,0.0022123893805309734,20
ret_10,0.005329534117987827,0.00693175322798487,0.027429628143894515,-0.2493734335839599,0.32691192143213677,0.0,20
vol_10,0.18105882890774377,0.1665463509291575,0.12923837804788174,0.01890088461859346,0.6271057319233428,0.0055309734513274336,20
price_to_sma_10,0.0018082523825296737,0.00292213936893943,0.0377646897739527,-0.14972444456619083,0.13977941398002725,0.0,20
ret_20,0.011217293894445207,0.012969638707273674,0.01931983279972811,-0.31252609603340287,0.4165736531184494,0.0,20
vol_20,0.18923146563775958,0.17412686934205568,0.14393384957517572,0.023510884677660087,0.5370755798188822,0.0,20
price_to_sma_20,0.004002841838407058,0.00594351652854855,0.04114459018240679,-0.21212207145254058,0.21582154561039157,0.0,20
ret_40,0.024115969503421986,0.02265574147322461,0.009842817159674961,-0.40442269870964653,0.6833818244052714,0.0,20
vol_40,0.19590266197343964,0.1806279898104651,0.15850740699521196,0.03981401548302391,0.5088364513299507,0.0,20
price_to_sma_40,0.008474789160792816,0.011041404527515513,0.033970530851466736,-0.2885114454331801,0.3413333507815721,0.0,20
ret_60,0.03707869103614465,0.030877143981926123,0.030862277847312,-0.4662367671556774,1.0522218618229,0.0,20
vol_60,0.19954663510784296,0.18362466889094858,0.17459541525938455,0.04573896295775306,0.47418560341660737,0.0,20
price_to_sma_60,0.012792124192733638,0.015259474269361832,0.024676912069609043,-0.3464087840357257,0.46882910752533524,0.0,20
ret_120,0.07558682363455407,0.060099219188697435,0.049965386795361486,-0.6591401734104047,1.558904452226113,0.0,20
vol_120,0.20763568130276344,0.18724885657550894,0.23455411615538282,0.06009040104877904,0.5767428128865887,0.0,20
