horizon,from_state,to_state,probability
20,0,0,0.9788692995459788
20,0,1,0.0035195892019870586
20,0,2,0.01350655200206639
20,0,3,0.004104559249967836
20,1,0,0.006818798387640301
20,1,1,0.9865712535116893
20,1,2,0.006609948100643811
20,1,3,2.6631237569932078e-14
20,2,0,0.0071606150419937014
20,2,1,0.007873503791489727
20,2,2,0.9815087818237607
20,2,3,0.0034570993427559165
20,3,0,0.0043621814960766
20,3,1,1.1464025071426363e-151
20,3,2,0.009434526022405758
20,3,3,0.9862032924815176
40,0,0,0.983722243661633
40,0,1,0.00656826003282901
40,0,2,0.0037660478840669718
40,0,3,0.00594344842147084
40,1,0,0.003594279530480221
40,1,1,0.98885026702854
40,1,2,0.0013714230944586704
40,1,3,0.006184030346521404
40,2,0,0.008648655862848968
40,2,1,0.0025858218022363506
40,2,2,0.9846896629314217
40,2,3,0.004075859403492934
40,3,0,0.012930841105049277
40,3,1,0.0021787143892891317
40,3,2,0.004302123825674859
40,3,3,0.9805883206799867
60,0,0,0.9848010251569956
60,0,1,0.0025610492440589143
60,0,2,0.004082363901233173
60,0,3,0.00855556169771237
60,1,0,0.001287534850925878
60,1,1,0.9888833733097944
60,1,2,0.006179884148757018
60,1,3,0.0036492076905225703
60,2,0,0.004312889929575319
60,2,1,0.002183579394354858
60,2,2,0.9806907063509677
60,2,3,0.012812824325102234
60,3,0,0.003853699381201791
60,3,1,0.006698800816077943
60,3,2,0.005978400447883606
60,3,3,0.9834690993548367
