horizon,year,target,count,share
20,2002,Bear,75,0.3768844221105528
20,2002,Bull,46,0.23115577889447236
20,2002,Sideway,33,0.1658291457286432
20,2002,Stress,45,0.22613065326633167
20,2003,Bear,37,0.14979757085020243
20,2003,Bull,55,0.22267206477732793
20,2003,Sideway,48,0.19433198380566802
20,2003,Stress,107,0.4331983805668016
20,2004,Bear,42,0.1700404858299595
20,2004,Bull,60,0.242914979757085
20,2004,Sideway,89,0.3603238866396761
20,2004,Stress,56,0.22672064777327935
20,2005,Bear,24,0.09716599190283401
20,2005,Bull,121,0.4898785425101215
20,2005,Sideway,97,0.39271255060728744
20,2005,Stress,5,0.020242914979757085
20,2006,Bear,30,0.12048192771084337
20,2006,Bull,153,0.6144578313253012
20,2006,Sideway,43,0.17269076305220885
20,2006,Stress,23,0.09236947791164658
20,2007,Bear,77,0.31048387096774194
20,2007,Bull,72,0.2903225806451613
20,2007,Sideway,47,0.18951612903225806
20,2007,Stress,52,0.20967741935483872
20,2008,Bear,49,0.2
20,2008,Bull,38,0.15510204081632653
20,2008,Sideway,50,0.20408163265306123
20,2008,Stress,108,0.44081632653061226
20,2009,Bear,24,0.09561752988047809
20,2009,Bull,142,0.5657370517928287
20,2009,Sideway,32,0.12749003984063745
20,2009,Stress,53,0.21115537848605578
20,2010,Bear,35,0.14
20,2010,Bull,61,0.244
20,2010,Sideway,114,0.456
20,2010,Stress,40,0.16
20,2011,Bear,49,0.1975806451612903
20,2011,Bull,51,0.2056451612903226
20,2011,Sideway,55,0.2217741935483871
20,2011,Stress,93,0.375
20,2012,Bear,38,0.152
20,2012,Bull,95,0.38
20,2012,Sideway,85,0.34
20,2012,Stress,32,0.128
20,2013,Bear,23,0.092
20,2013,Bull,102,0.408
20,2013,Sideway,95,0.38
20,2013,Stress,30,0.12
20,2014,Bear,33,0.13360323886639677
20,2014,Bull,111,0.4493927125506073
20,2014,Sideway,44,0.17813765182186234
20,2014,Stress,59,0.2388663967611336
20,2015,Bear,23,0.09274193548387097
20,2015,Bull,90,0.3629032258064516
20,2015,Sideway,63,0.2540322580645161
20,2015,Stress,72,0.2903225806451613
20,2016,Bear,30,0.11952191235059761
20,2016,Bull,124,0.4940239043824701
20,2016,Sideway,87,0.3466135458167331
20,2016,Stress,10,0.0398406374501992
20,2017,Bear,5,0.02
20,2017,Bull,178,0.712
20,2017,Sideway,61,0.244
20,2017,Stress,6,0.024
20,2018,Bear,40,0.16129032258064516
20,2018,Bull,72,0.2903225806451613
20,2018,Sideway,75,0.3024193548387097
20,2018,Stress,61,0.24596774193548387
20,2019,Bear,35,0.14
20,2019,Bull,80,0.32
20,2019,Sideway,117,0.468
20,2019,Stress,18,0.072
20,2020,Bear,18,0.07142857142857142
20,2020,Bull,142,0.5634920634920635
20,2020,Sideway,36,0.14285714285714285
20,2020,Stress,56,0.2222222222222222
20,2021,Bear,8,0.032
20,2021,Bull,124,0.496
20,2021,Sideway,87,0.348
20,2021,Stress,31,0.124
20,2022,Bear,35,0.14056224899598393
20,2022,Bull,57,0.2289156626506024
20,2022,Sideway,85,0.3413654618473896
20,2022,Stress,72,0.2891566265060241
20,2023,Bear,35,0.14056224899598393
20,2023,Bull,94,0.37751004016064255
20,2023,Sideway,90,0.3614457831325301
20,2023,Stress,30,0.12048192771084337
20,2024,Bear,33,0.132
20,2024,Bull,82,0.328
20,2024,Sideway,92,0.368
20,2024,Stress,43,0.172
20,2025,Bear,4,0.01606425702811245
20,2025,Bull,152,0.6104417670682731
20,2025,Sideway,63,0.25301204819277107
20,2025,Stress,30,0.12048192771084337
20,2026,Bear,14,0.14
20,2026,Bull,26,0.26
20,2026,Sideway,33,0.33
20,2026,Stress,27,0.27
40,2002,Bear,80,0.4020100502512563
40,2002,Bull,32,0.16080402010050251
40,2002,Sideway,28,0.1407035175879397
40,2002,Stress,59,0.2964824120603015
40,2003,Bear,25,0.10121457489878542
40,2003,Bull,60,0.242914979757085
40,2003,Sideway,26,0.10526315789473684
40,2003,Stress,136,0.5506072874493927
40,2004,Bear,41,0.1659919028340081
40,2004,Bull,48,0.19433198380566802
40,2004,Sideway,86,0.3481781376518219
40,2004,Stress,72,0.291497975708502
40,2005,Bear,11,0.044534412955465584
40,2005,Bull,156,0.631578947368421
40,2005,Sideway,80,0.32388663967611336
40,2006,Bear,27,0.10843373493975904
40,2006,Bull,161,0.6465863453815262
40,2006,Sideway,27,0.10843373493975904
40,2006,Stress,34,0.13654618473895583
40,2007,Bear,50,0.20161290322580644
40,2007,Bull,63,0.2540322580645161
40,2007,Sideway,56,0.22580645161290322
40,2007,Stress,79,0.3185483870967742
40,2008,Bear,69,0.2816326530612245
40,2008,Bull,29,0.11836734693877551
40,2008,Sideway,27,0.11020408163265306
40,2008,Stress,120,0.4897959183673469
40,2009,Bear,18,0.07171314741035857
40,2009,Bull,124,0.4940239043824701
40,2009,Sideway,53,0.21115537848605578
40,2009,Stress,56,0.22310756972111553
40,2010,Bear,21,0.084
40,2010,Bull,54,0.216
40,2010,Sideway,125,0.5
40,2010,Stress,50,0.2
40,2011,Bear,49,0.1975806451612903
40,2011,Bull,42,0.1693548387096774
40,2011,Sideway,47,0.18951612903225806
40,2011,Stress,110,0.4435483870967742
40,2012,Bear,44,0.176
40,2012,Bull,90,0.36
40,2012,Sideway,91,0.364
40,2012,Stress,25,0.1
40,2013,Bear,19,0.076
40,2013,Bull,114,0.456
40,2013,Sideway,110,0.44
40,2013,Stress,7,0.028
40,2014,Bear,20,0.08097165991902834
40,2014,Bull,95,0.38461538461538464
40,2014,Sideway,46,0.1862348178137652
40,2014,Stress,86,0.3481781376518219
40,2015,Bear,38,0.1532258064516129
40,2015,Bull,84,0.3387096774193548
40,2015,Sideway,44,0.1774193548387097
40,2015,Stress,82,0.33064516129032256
40,2016,Bear,16,0.06374501992031872
40,2016,Bull,156,0.6215139442231076
40,2016,Sideway,75,0.29880478087649404
40,2016,Stress,4,0.01593625498007968
40,2017,Bear,1,0.004
40,2017,Bull,211,0.844
40,2017,Sideway,38,0.152
40,2018,Bear,43,0.17338709677419356
40,2018,Bull,66,0.2661290322580645
40,2018,Sideway,81,0.32661290322580644
40,2018,Stress,58,0.23387096774193547
40,2019,Bear,56,0.224
40,2019,Bull,63,0.252
40,2019,Sideway,102,0.408
40,2019,Stress,29,0.116
40,2020,Bear,1,0.003968253968253968
40,2020,Bull,153,0.6071428571428571
40,2020,Sideway,43,0.17063492063492064
40,2020,Stress,55,0.21825396825396826
40,2021,Bear,6,0.024
40,2021,Bull,121,0.484
40,2021,Sideway,102,0.408
40,2021,Stress,21,0.084
40,2022,Bear,29,0.11646586345381527
40,2022,Bull,37,0.14859437751004015
40,2022,Sideway,98,0.39357429718875503
40,2022,Stress,85,0.3413654618473896
40,2023,Bear,19,0.07630522088353414
40,2023,Bull,107,0.42971887550200805
40,2023,Sideway,92,0.36947791164658633
40,2023,Stress,31,0.12449799196787148
40,2024,Bear,27,0.108
40,2024,Bull,69,0.276
40,2024,Sideway,124,0.496
40,2024,Stress,30,0.12
40,2025,Bear,5,0.020080321285140562
40,2025,Bull,151,0.606425702811245
40,2025,Sideway,51,0.20481927710843373
40,2025,Stress,42,0.1686746987951807
40,2026,Bear,7,0.0875
40,2026,Bull,23,0.2875
40,2026,Sideway,18,0.225
40,2026,Stress,32,0.4
60,2002,Bear,86,0.4321608040201005
60,2002,Bull,2,0.010050251256281407
60,2002,Sideway,43,0.21608040201005024
60,2002,Stress,68,0.3417085427135678
60,2003,Bear,3,0.012145748987854251
60,2003,Bull,63,0.2550607287449393
60,2003,Sideway,21,0.08502024291497975
60,2003,Stress,160,0.6477732793522267
60,2004,Bear,24,0.09716599190283401
60,2004,Bull,55,0.22267206477732793
60,2004,Sideway,84,0.340080971659919
60,2004,Stress,84,0.340080971659919
60,2005,Bull,187,0.757085020242915
60,2005,Sideway,60,0.242914979757085
60,2006,Bear,32,0.1285140562248996
60,2006,Bull,168,0.6746987951807228
60,2006,Sideway,27,0.10843373493975904
60,2006,Stress,22,0.08835341365461848
60,2007,Bear,43,0.17338709677419356
60,2007,Bull,57,0.22983870967741934
60,2007,Sideway,72,0.2903225806451613
60,2007,Stress,76,0.3064516129032258
60,2008,Bear,73,0.2979591836734694
60,2008,Bull,18,0.07346938775510205
60,2008,Sideway,14,0.05714285714285714
60,2008,Stress,140,0.5714285714285714
60,2009,Bear,21,0.08366533864541832
60,2009,Bull,139,0.5537848605577689
60,2009,Sideway,35,0.1394422310756972
60,2009,Stress,56,0.22310756972111553
60,2010,Bear,38,0.152
60,2010,Bull,60,0.24
60,2010,Sideway,106,0.424
60,2010,Stress,46,0.184
60,2011,Bear,45,0.1814516129032258
60,2011,Bull,30,0.12096774193548387
60,2011,Sideway,75,0.3024193548387097
60,2011,Stress,98,0.3951612903225806
60,2012,Bear,65,0.26
60,2012,Bull,94,0.376
60,2012,Sideway,69,0.276
60,2012,Stress,22,0.088
60,2013,Bear,20,0.08
60,2013,Bull,113,0.452
60,2013,Sideway,116,0.464
60,2013,Stress,1,0.004
60,2014,Bear,16,0.06477732793522267
60,2014,Bull,80,0.32388663967611336
60,2014,Sideway,58,0.23481781376518218
60,2014,Stress,93,0.3765182186234818
60,2015,Bear,28,0.11290322580645161
60,2015,Bull,47,0.18951612903225806
60,2015,Sideway,98,0.3951612903225806
60,2015,Stress,75,0.3024193548387097
60,2016,Bear,9,0.035856573705179286
60,2016,Bull,171,0.6812749003984063
60,2016,Sideway,71,0.28286852589641437
60,2017,Bull,248,0.992
60,2017,Sideway,2,0.008
60,2018,Bear,57,0.22983870967741934
60,2018,Bull,55,0.2217741935483871
60,2018,Sideway,77,0.31048387096774194
60,2018,Stress,59,0.23790322580645162
60,2019,Bear,42,0.168
60,2019,Bull,56,0.224
60,2019,Sideway,107,0.428
60,2019,Stress,45,0.18
60,2020,Bull,163,0.6468253968253969
60,2020,Sideway,40,0.15873015873015872
60,2020,Stress,49,0.19444444444444445
60,2021,Bear,3,0.012
60,2021,Bull,145,0.58
60,2021,Sideway,92,0.368
60,2021,Stress,10,0.04
60,2022,Bear,29,0.11646586345381527
60,2022,Bull,19,0.07630522088353414
60,2022,Sideway,94,0.37751004016064255
60,2022,Stress,107,0.42971887550200805
60,2023,Bear,18,0.07228915662650602
60,2023,Bull,127,0.5100401606425703
60,2023,Sideway,72,0.2891566265060241
60,2023,Stress,32,0.1285140562248996
60,2024,Bear,12,0.048
60,2024,Bull,75,0.3
60,2024,Sideway,155,0.62
60,2024,Stress,8,0.032
60,2025,Bear,10,0.040160642570281124
60,2025,Bull,128,0.5140562248995983
60,2025,Sideway,53,0.21285140562248997
60,2025,Stress,58,0.23293172690763053
60,2026,Bear,5,0.08333333333333333
60,2026,Bull,18,0.3
60,2026,Sideway,15,0.25
60,2026,Stress,22,0.36666666666666664
