feature,importance
sma_slope_200,0.18931028758884602
downside_vol_60,0.18299265639421694
sma_slope_100,0.15993816064480257
upside_vol_20,0.12273061911465058
hmm_expected_return,0.10701585741433708
upside_vol_40,0.10490551809716955
up_ratio_60,0.10466804973164076
upside_vol_60,0.10050168553067407
sma_slope_100 & downside_vol_60,0.09830642674268329
volatility_40,0.09708836074772448
vol_of_vol_40,0.09546600481705556
macd,0.09158030378916027
sma_slope_50,0.0853039444221517
ema_distance_200,0.0805362158680049
obv_zscore,0.08029005629328718
vol_of_vol_60,0.07982477546147132
distance_from_low_60,0.07948768668528407
downside_vol_20,0.07817242595729669
drawdown_from_high_60,0.07776068951004535
month,0.07475051718027928
sma_distance_100 & log_volume,0.07445716369947422
log_return_60,0.07318306839596093
ma_cross_100,0.06937534180733589
downside_vol_40,0.0627532204725147
hmm_state_duration,0.057790655752789785
upside_vol_10,0.0550289319877131
drawdown_from_high_40,0.05448458075928051
ma_cross_20,0.05389609562258474
volatility_60,0.05335695911055803
macd_signal,0.05134013201869473
