name,group,lookback,source_columns,available_at,requires_volume,requires_ohlc
ret_1,return_momentum,1,close,close_t,False,False
log_return_2,return_momentum,2,close,close_t,False,False
rolling_return_2,return_momentum,2,close,close_t,False,False
up_ratio_2,return_momentum,2,close,close_t,False,False
drawdown_from_high_2,return_momentum,2,close,close_t,False,False
distance_from_low_2,return_momentum,2,close,close_t,False,False
log_return_5,return_momentum,5,close,close_t,False,False
rolling_return_5,return_momentum,5,close,close_t,False,False
up_ratio_5,return_momentum,5,close,close_t,False,False
drawdown_from_high_5,return_momentum,5,close,close_t,False,False
distance_from_low_5,return_momentum,5,close,close_t,False,False
log_return_10,return_momentum,10,close,close_t,False,False
rolling_return_10,return_momentum,10,close,close_t,False,False
up_ratio_10,return_momentum,10,close,close_t,False,False
drawdown_from_high_10,return_momentum,10,close,close_t,False,False
distance_from_low_10,return_momentum,10,close,close_t,False,False
log_return_20,return_momentum,20,close,close_t,False,False
rolling_return_20,return_momentum,20,close,close_t,False,False
up_ratio_20,return_momentum,20,close,close_t,False,False
drawdown_from_high_20,return_momentum,20,close,close_t,False,False
distance_from_low_20,return_momentum,20,close,close_t,False,False
log_return_40,return_momentum,40,close,close_t,False,False
rolling_return_40,return_momentum,40,close,close_t,False,False
up_ratio_40,return_momentum,40,close,close_t,False,False
drawdown_from_high_40,return_momentum,40,close,close_t,False,False
distance_from_low_40,return_momentum,40,close,close_t,False,False
log_return_60,return_momentum,60,close,close_t,False,False
rolling_return_60,return_momentum,60,close,close_t,False,False
up_ratio_60,return_momentum,60,close,close_t,False,False
drawdown_from_high_60,return_momentum,60,close,close_t,False,False
distance_from_low_60,return_momentum,60,close,close_t,False,False
signed_streak,return_momentum,1,close,close_t,False,False
sma_distance_5,trend,5,close,close_t,False,False
ema_distance_5,trend,5,close,close_t,False,False
sma_slope_5,trend,5,close,close_t,False,False
ema_slope_5,trend,5,close,close_t,False,False
ma_cross_5,trend,5,close,close_t,False,False
sma_distance_10,trend,10,close,close_t,False,False
ema_distance_10,trend,10,close,close_t,False,False
sma_slope_10,trend,10,close,close_t,False,False
ema_slope_10,trend,10,close,close_t,False,False
ma_cross_10,trend,10,close,close_t,False,False
sma_distance_20,trend,20,close,close_t,False,False
ema_distance_20,trend,20,close,close_t,False,False
sma_slope_20,trend,20,close,close_t,False,False
ema_slope_20,trend,20,close,close_t,False,False
ma_cross_20,trend,20,close,close_t,False,False
sma_distance_50,trend,50,close,close_t,False,False
ema_distance_50,trend,50,close,close_t,False,False
sma_slope_50,trend,50,close,close_t,False,False
ema_slope_50,trend,50,close,close_t,False,False
ma_cross_50,trend,50,close,close_t,False,False
sma_distance_100,trend,100,close,close_t,False,False
ema_distance_100,trend,100,close,close_t,False,False
sma_slope_100,trend,100,close,close_t,False,False
ema_slope_100,trend,100,close,close_t,False,False
ma_cross_100,trend,100,close,close_t,False,False
sma_distance_200,trend,200,close,close_t,False,False
ema_distance_200,trend,200,close,close_t,False,False
sma_slope_200,trend,200,close,close_t,False,False
ema_slope_200,trend,200,close,close_t,False,False
ma_cross_200,trend,200,close,close_t,False,False
macd,trend,26,close,close_t,False,False
macd_signal,trend,26,close,close_t,False,False
macd_hist,trend,26,close,close_t,False,False
volatility_5,volatility,5,close,close_t,False,False
downside_vol_5,volatility,5,close,close_t,False,False
upside_vol_5,volatility,5,close,close_t,False,False
vol_of_vol_5,volatility,5,close,close_t,False,False
volatility_10,volatility,10,close,close_t,False,False
downside_vol_10,volatility,10,close,close_t,False,False
upside_vol_10,volatility,10,close,close_t,False,False
vol_of_vol_10,volatility,10,close,close_t,False,False
volatility_20,volatility,20,close,close_t,False,False
downside_vol_20,volatility,20,close,close_t,False,False
upside_vol_20,volatility,20,close,close_t,False,False
vol_of_vol_20,volatility,20,close,close_t,False,False
volatility_40,volatility,40,close,close_t,False,False
downside_vol_40,volatility,40,close,close_t,False,False
upside_vol_40,volatility,40,close,close_t,False,False
vol_of_vol_40,volatility,40,close,close_t,False,False
volatility_60,volatility,60,close,close_t,False,False
downside_vol_60,volatility,60,close,close_t,False,False
upside_vol_60,volatility,60,close,close_t,False,False
vol_of_vol_60,volatility,60,close,close_t,False,False
ewma_volatility,volatility,40,close,close_t,False,False
bollinger_bandwidth,volatility,20,close,close_t,False,False
hl_range,price_shape,20,"open,high,low,close",close_t,False,True
close_position_hl,price_shape,20,"open,high,low,close",close_t,False,True
candle_body,price_shape,20,"open,high,low,close",close_t,False,True
upper_shadow,price_shape,20,"open,high,low,close",close_t,False,True
lower_shadow,price_shape,20,"open,high,low,close",close_t,False,True
atr_14,price_shape,20,"open,high,low,close",close_t,False,True
parkinson_volatility,price_shape,20,"open,high,low,close",close_t,False,True
log_volume,volume,60,volume,close_t,True,False
volume_change,volume,60,volume,close_t,True,False
volume_zscore,volume,60,volume,close_t,True,False
volume_ratio_20,volume,60,volume,close_t,True,False
return_volume_interaction,volume,60,volume,close_t,True,False
obv_zscore,volume,60,volume,close_t,True,False
month,calendar,0,date,close_t,False,False
quarter,calendar,0,date,close_t,False,False
day_of_week,calendar,0,date,close_t,False,False
is_month_start,calendar,0,date,close_t,False,False
is_month_end,calendar,0,date,close_t,False,False
