model,horizon,class,precision,recall,f1,support
RAEMF-MC,20,Bull,0.44166666666666665,0.3390191897654584,0.3835946924004825,469
RAEMF-MC,20,Sideway,0.43769968051118213,0.6075388026607539,0.5088207985143919,451
RAEMF-MC,20,Bear,0.0891089108910891,0.06666666666666667,0.07627118644067797,135
RAEMF-MC,20,Stress,0.2781065088757396,0.23383084577114427,0.25405405405405407,201
XGBoost (full features),20,Bull,0.43675417661097854,0.39019189765458423,0.41216216216216217,469
XGBoost (full features),20,Sideway,0.4356060606060606,0.5099778270509978,0.4698672114402451,451
XGBoost (full features),20,Bear,0.16470588235294117,0.1037037037037037,0.12727272727272726,135
XGBoost (full features),20,Stress,0.33035714285714285,0.3681592039800995,0.34823529411764703,201
Random Forest (full features),20,Bull,0.526984126984127,0.35394456289978676,0.42346938775510207,469
Random Forest (full features),20,Sideway,0.4599092284417549,0.6740576496674058,0.5467625899280576,451
Random Forest (full features),20,Bear,0.125,0.05925925925925926,0.08040201005025126,135
Random Forest (full features),20,Stress,0.3425925925925926,0.3681592039800995,0.354916067146283,201
MACD probabilistic,20,Bull,0.3927427961579509,0.7846481876332623,0.5234708392603129,469
MACD probabilistic,20,Sideway,0.329153605015674,0.2328159645232816,0.2727272727272727,451
MACD probabilistic,20,Bear,0.0,0.0,0.0,135
MACD probabilistic,20,Stress,0.0,0.0,0.0,201
RAEMF-MC,40,Bull,0.44019138755980863,0.39065817409766457,0.41394825646794153,471
RAEMF-MC,40,Sideway,0.4872665534804754,0.6225596529284165,0.5466666666666666,461
RAEMF-MC,40,Bear,0.05504587155963303,0.06315789473684211,0.058823529411764705,95
RAEMF-MC,40,Stress,0.2426470588235294,0.14666666666666667,0.18282548476454294,225
XGBoost (full features),40,Bull,0.42316258351893093,0.4033970276008493,0.41304347826086957,471
XGBoost (full features),40,Sideway,0.44321329639889195,0.3470715835140998,0.38929440389294406,461
XGBoost (full features),40,Bear,0.028037383177570093,0.031578947368421054,0.0297029702970297,95
XGBoost (full features),40,Stress,0.20597014925373133,0.30666666666666664,0.24642857142857144,225
Random Forest (full features),40,Bull,0.43617021276595747,0.3481953290870488,0.3872491145218418,471
Random Forest (full features),40,Sideway,0.4388984509466437,0.5531453362255966,0.4894433781190019,461
Random Forest (full features),40,Bear,0.07462686567164178,0.10526315789473684,0.08733624454148471,95
Random Forest (full features),40,Stress,0.10559006211180125,0.07555555555555556,0.08808290155440414,225
MACD probabilistic,40,Bull,0.3761980830670926,1.0,0.546720835751596,471
MACD probabilistic,40,Sideway,0.0,0.0,0.0,461
MACD probabilistic,40,Bear,0.0,0.0,0.0,95
MACD probabilistic,40,Stress,0.0,0.0,0.0,225
RAEMF-MC,60,Bull,0.36,0.3283261802575107,0.3434343434343434,466
RAEMF-MC,60,Sideway,0.4352,0.5654885654885655,0.4918625678119349,481
RAEMF-MC,60,Bear,0.03636363636363636,0.02857142857142857,0.032,70
RAEMF-MC,60,Stress,0.32867132867132864,0.20346320346320346,0.25133689839572193,231
XGBoost (full features),60,Bull,0.41543026706231456,0.30042918454935624,0.34869240348692404,466
XGBoost (full features),60,Sideway,0.3780821917808219,0.2869022869022869,0.3262411347517731,481
XGBoost (full features),60,Bear,0.037037037037037035,0.02857142857142857,0.03225806451612903,70
XGBoost (full features),60,Stress,0.17479674796747968,0.3722943722943723,0.23789764868603042,231
Random Forest (full features),60,Bull,0.3813813813813814,0.27253218884120173,0.31789737171464333,466
Random Forest (full features),60,Sideway,0.3785310734463277,0.4178794178794179,0.39723320158102765,481
Random Forest (full features),60,Bear,0.008333333333333333,0.014285714285714285,0.010526315789473684,70
Random Forest (full features),60,Stress,0.15151515151515152,0.17316017316017315,0.16161616161616163,231
MACD probabilistic,60,Bull,0.3733974358974359,1.0,0.543757292882147,466
MACD probabilistic,60,Sideway,0.0,0.0,0.0,481
MACD probabilistic,60,Bear,0.0,0.0,0.0,70
MACD probabilistic,60,Stress,0.0,0.0,0.0,231
