feature,class,contribution,latest_value,train_median
ma_cross_100,Bull,0.0,1.0,1.0
ma_cross_100,Sideway,0.0,1.0,1.0
ma_cross_100,Bear,0.0,1.0,1.0
ma_cross_100,Stress,0.0,1.0,1.0
upside_vol_40,Bull,0.0065557675838326945,0.00435463236112085,0.006204161483816306
upside_vol_40,Sideway,-0.012786347713693802,0.00435463236112085,0.006204161483816306
upside_vol_40,Bear,-0.0031348555867560524,0.00435463236112085,0.006204161483816306
upside_vol_40,Stress,0.009365435716617299,0.00435463236112085,0.006204161483816306
log_volume,Bull,0.00560665609334568,19.761308645055102,18.202894625794098
log_volume,Sideway,0.009819991523383476,19.761308645055102,18.202894625794098
log_volume,Bear,-0.01632932867784065,19.761308645055102,18.202894625794098
log_volume,Stress,0.0009026810611114655,19.761308645055102,18.202894625794098
ma_cross_200,Bull,0.010540467529198627,0.0,1.0
ma_cross_200,Sideway,-0.022580267726471204,0.0,1.0
ma_cross_200,Bear,0.01404278412296947,0.0,1.0
ma_cross_200,Stress,-0.0020029839256968385,0.0,1.0
egarch_volatility_percentile,Bull,-0.0068818749531780465,0.15476190476190477,0.49206349206349204
egarch_volatility_percentile,Sideway,-0.00463651356194994,0.15476190476190477,0.49206349206349204
egarch_volatility_percentile,Bear,0.008865745807816822,0.15476190476190477,0.49206349206349204
egarch_volatility_percentile,Stress,0.0026526427073111647,0.15476190476190477,0.49206349206349204
vol_of_vol_20,Bull,0.0016833510577133615,0.000908250750205732,0.0014421043859224297
vol_of_vol_20,Sideway,-0.003330846235730267,0.000908250750205732,0.0014421043859224297
vol_of_vol_20,Bear,-0.00260361232627776,0.000908250750205732,0.0014421043859224297
vol_of_vol_20,Stress,0.004251107504294638,0.000908250750205732,0.0014421043859224297
month,Bull,0.0,7.0,7.0
month,Sideway,0.0,7.0,7.0
month,Bear,0.0,7.0,7.0
month,Stress,0.0,7.0,7.0
volatility_40,Bull,0.0064122619482799015,0.008183518902487688,0.011162848351013324
volatility_40,Sideway,-0.008630940201732606,0.008183518902487688,0.011162848351013324
volatility_40,Bear,-0.002251874541700505,0.008183518902487688,0.011162848351013324
volatility_40,Stress,0.00447055279515321,0.008183518902487688,0.011162848351013324
ma_cross_10,Bull,-0.005370297809536989,0.0,1.0
ma_cross_10,Sideway,0.009501111452990207,0.0,1.0
ma_cross_10,Bear,-0.013921235385296882,0.0,1.0
ma_cross_10,Stress,0.009790421741843747,0.0,1.0
quarter,Bull,0.0,3.0,3.0
quarter,Sideway,0.0,3.0,3.0
quarter,Bear,0.0,3.0,3.0
quarter,Stress,0.0,3.0,3.0
vol_of_vol_40,Bull,0.004947293109915485,0.002262411816419572,0.0014057983606075074
vol_of_vol_40,Sideway,-0.0016680736904542415,0.002262411816419572,0.0014057983606075074
vol_of_vol_40,Bear,-0.003199860162304613,0.002262411816419572,0.0014057983606075074
vol_of_vol_40,Stress,-7.935925715663039e-05,0.002262411816419572,0.0014057983606075074
parkinson_volatility,Bull,0.00015027864054537043,0.007896242295123326,0.007336057091512128
parkinson_volatility,Sideway,0.0002505212832402126,0.007896242295123326,0.007336057091512128
parkinson_volatility,Bear,-0.00018785901388321258,0.007896242295123326,0.007336057091512128
parkinson_volatility,Stress,-0.00021294090990242598,0.007896242295123326,0.007336057091512128
upside_vol_60,Bull,-0.0011889234329525433,0.0072600819599325005,0.006592411836064087
upside_vol_60,Sideway,-0.0009486972645320058,0.0072600819599325005,0.006592411836064087
upside_vol_60,Bear,0.002990444158303185,0.0072600819599325005,0.006592411836064087
upside_vol_60,Stress,-0.0008528234608185525,0.0072600819599325005,0.006592411836064087
downside_vol_60,Bull,0.010295935276585039,0.004901899398921979,0.007103687601856437
downside_vol_60,Sideway,-0.0032766103085362097,0.004901899398921979,0.007103687601856437
downside_vol_60,Bear,-0.004693460707324321,0.004901899398921979,0.007103687601856437
downside_vol_60,Stress,-0.002325864260724453,0.004901899398921979,0.007103687601856437
volatility_60,Bull,0.0031909013378909334,0.010175885296802769,0.01180750805299918
volatility_60,Sideway,-0.003932959899961619,0.010175885296802769,0.01180750805299918
volatility_60,Bear,-0.0023876332705881353,0.010175885296802769,0.01180750805299918
volatility_60,Stress,0.0031296918326588208,0.010175885296802769,0.01180750805299918
distance_from_low_60,Bull,-0.0011170222723005385,0.10765222972976021,0.07789765244520214
distance_from_low_60,Sideway,-0.002406414405748014,0.10765222972976021,0.07789765244520214
distance_from_low_60,Bear,0.0023236981170194904,0.10765222972976021,0.07789765244520214
distance_from_low_60,Stress,0.0011997385610290623,0.10765222972976021,0.07789765244520214
ma_cross_50,Bull,-0.007338396233363659,0.0,1.0
ma_cross_50,Sideway,-0.009129308978604644,0.0,1.0
ma_cross_50,Bear,0.008164404431821953,0.0,1.0
ma_cross_50,Stress,0.008303300780146322,0.0,1.0
downside_vol_40,Bull,0.0019156528153847219,0.0053038363233134525,0.0066102363636300855
downside_vol_40,Sideway,-0.004422302426102642,0.0053038363233134525,0.0066102363636300855
downside_vol_40,Bear,-0.00017313441908209382,0.0053038363233134525,0.0066102363636300855
downside_vol_40,Stress,0.002679784029800042,0.0053038363233134525,0.0066102363636300855
up_ratio_5,Bull,0.0,0.6,0.6
up_ratio_5,Sideway,0.0,0.6,0.6
up_ratio_5,Bear,0.0,0.6,0.6
up_ratio_5,Stress,0.0,0.6,0.6
ma_cross_20,Bull,0.0,1.0,1.0
ma_cross_20,Sideway,0.0,1.0,1.0
ma_cross_20,Bear,0.0,1.0,1.0
ma_cross_20,Stress,0.0,1.0,1.0
