model,horizon,n_obs,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc,brier,log_loss,ece,recall_bull,recall_sideway,recall_bear,recall_stress
RAEMF-MC,20,1256,0.3893312101910828,0.3117638762160058,0.31164544173616937,0.3117638762160058,0.3056851828524016,0.37479742507975594,0.10932480024256688,0.7287013572766147,1.3451101375707164,0.08942312200767723,0.3390191897654584,0.6075388026607539,0.06666666666666667,0.23383084577114427
XGBoost (full features),20,1256,0.39888535031847133,0.3430081580973463,0.3418558156067808,0.3430081580973463,0.3393843487481954,0.3920312728607244,0.12781998294557376,0.7282562740690167,1.3444622554206282,0.09310195382194059,0.39019189765458423,0.5099778270509978,0.1037037037037037,0.3681592039800995
Random Forest (full features),20,1256,0.4394904458598726,0.36385516895163783,0.3636214870046186,0.36385516895163783,0.35138751371992344,0.419896076248315,0.18757440952903884,0.7278436140310666,1.3434121652308846,0.14447673840715464,0.35394456289978676,0.6740576496674058,0.05925925925925926,0.3681592039800995
MACD probabilistic,20,1256,0.3765923566878981,0.254366038039136,0.18047410029340621,0.254366038039136,0.1990495279968964,0.293397948736534,0.013303273981779556,0.7274265578414937,1.3556548740356327,0.06570523285473567,0.7846481876332623,0.2328159645232816,0.0,0.0
RAEMF-MC,40,1252,0.4073482428115016,0.30576059710739745,0.3062877178558616,0.30576059710739745,0.30056598432772896,0.3943346098209853,0.123704583215083,0.7260568280586515,1.3388004411588055,0.09495927052005294,0.39065817409766457,0.6225596529284165,0.06315789473684211,0.14666666666666667
XGBoost (full features),40,1252,0.33706070287539935,0.2721785562875092,0.2750958530872811,0.2721785562875092,0.2696173559698537,0.34526869744821337,0.05940700108287809,0.7288121415636545,1.3402853180953858,0.035901687739728814,0.4033970276008493,0.3470715835140998,0.031578947368421054,0.30666666666666664
Random Forest (full features),40,1252,0.3562300319488818,0.2705398446907345,0.26382139787401104,0.2705398446907345,0.26302790968418316,0.34835728940401706,0.060906913194965245,0.7335023123554587,1.3535843460263959,0.06694636610240266,0.3481953290870488,0.5531453362255966,0.10526315789473684,0.07555555555555556
MACD probabilistic,40,1252,0.3761980830670926,0.25,0.09404952076677316,0.25,0.136680208937899,0.20567533038258923,0.0,0.7172436880029002,1.3280093131098754,0.09404534800602127,1.0,0.0,0.0,0.0
RAEMF-MC,60,1248,0.3798076923076923,0.28146234444517704,0.2900587412587412,0.28146234444517704,0.2796584524105,0.3661258995892279,0.05567153852031994,0.7303480124946551,1.341731573757533,0.06813871317223524,0.3283261802575107,0.5654885654885655,0.02857142857142857,0.20346320346320346
XGBoost (full features),60,1248,0.2932692307692308,0.24704931807936098,0.2513365609619133,0.24704931807936098,0.23627231286021416,0.3017829064127496,0.006358902897754554,0.743358232791315,1.3625186229080732,0.04316778129685345,0.30042918454935624,0.2869022869022869,0.02857142857142857,0.3722943722943723
Random Forest (full features),60,1248,0.2956730769230769,0.21946437354162676,0.22994023491904847,0.21946437354162676,0.2218182626753266,0.3023073081875758,-0.01826401990002951,0.7415709182881224,1.3623798805430793,0.01811400761374055,0.27253218884120173,0.4178794178794179,0.014285714285714285,0.17316017316017315
MACD probabilistic,60,1248,0.3733974358974359,0.25,0.09334935897435898,0.25,0.13593932322053676,0.20303757891272478,0.0,0.708248925618656,1.2861124030909974,0.0925558991141765,1.0,0.0,0.0,0.0
